Afstand,Vinkel
501.02184304011286 , 0
502.0390974632347 , 0
503.05012046456267 , 0
504.0505672408661 , 0
505.06187675025916 , 0
506.0619945404916 , 0
507.0672033895515 , 0
508.06731673457006 , 0
509.04598894356394 , 0
510.0142156814791 , 0
510.99266444287866 , 0
511.96378892543925 , 0
512.9524297927173 , 0
513.9474724001918 , 0
514.9410797399431 , 0
515.9364354466577 , 0
516.9144292355651 , 0
517.8912974826635 , 0
518.854429208323 , 0
519.8333745891991 , 0
520.7898952523728 , 0
521.7350783951624 , 0
522.6555770289458 , 0
523.575434265217 , 0
524.5084417155565 , 0
525.4560550300848 , 0
526.4143522284337 , 0
527.3656901945901 , 0
528.3218991623775 , 0
529.2958324563102 , 0
530.2901219758168 , 0
531.2950935132775 , 0
532.303261328745 , 0
533.3019200968348 , 0
534.30941414819 , 0
535.3371324929823 , 0
536.3423544395512 , 0
537.3330434755652 , 0
538.3479896243989 , 0
539.3868148483931 , 0
540.4142199941224 , 0
541.4426305052618 , 0
542.4594446966825 , 0
543.4829764048916 , 0
544.4931612834066 , 0
545.5033345231009 , 0
546.4903903894597 , 0
547.4630040832748 , 0
548.4184082338919 , 0
549.3750470924782 , 0
550.3563992408332 , 0
551.3391334596972 , 0
552.3194496442486 , 0
553.3048435848808 , 0
554.3140328500982 , 0
555.3355797560733 , 0
556.3368921203657 , 0
557.3206652727627 , 0
558.2993326872055 , 0
559.2847655779605 , 0
560.2848050377921 , 0
561.2953727971641 , 0
562.315651843082 , 0
563.313925653143 , 0
564.3048445024928 , 0
565.2754138095836 , 0
566.2403599411006 , 0
567.2070267957696 , 0
568.1857515346294 , 0
569.1582384665058 , 0
570.1359036892495 , 0
571.097290481484 , 0
572.0674792456849 , 0
573.0535017282248 , 0
574.030957638745 , 0
575.0196454584144 , 0
576.0187785995844 , 0
576.9983245089232 , 0
577.9716745572238 , 0
578.9208141420114 , 0
579.8849179918221 , 0
580.8637622097698 , 0
581.8426114235193 , 0
582.8256407593453 , 0
583.8056675732437 , 0
584.7657128962815 , 0
585.7477546962518 , 0
586.7244025972449 , 0
587.6984187939296 , 0
588.6685216695405 , 0
589.6283653613757 , 0
590.6005152729142 , 0
591.5833525346277 , 0
592.5502831440058 , 0
593.4982907708525 , 0
594.46969329129 , 0
595.4571514296163 , 0
596.4279179478203 , 0
597.3793745346188 , 0
598.3162696937832 , 0
599.268202569139 , 0
600.1957326755412 , 0
601.1421234184498 , 0
602.0693714922882 , 0
602.9997547907591 , 0
603.9085442256477 , 0
604.8198684157027 , 0
605.72702171151 , 0
606.6461477856956 , 0
607.561002981027 , 0
608.4709962155874 , 0
609.3690645569199 , 0
610.228542159794 , -1
611.0622107000229 , -1
611.8408085703087 , -1
612.562547385299 , -1
613.2271389473603 , -1
613.8753959244127 , -1
614.4882426444136 , -1
615.0461481134596 , -1
615.5859599133532 , -1
616.0840052657398 , -1
616.5324068707585 , -1
616.9395244605912 , -1
617.3117202943896 , -1
